company_id,name,identifier,category_id,logo_img_pc,logo_img_mb,type,class_url_pc,class_url_mb,explanation,is_recommend,ir_text_front,interest_rate,ir_unit,ir_text_after,annotation,annotation_modal,order,is_valid,promo_url_pc,promo_url_mb,delete_flag,created_at,updated_at
24,じゃらん,C016014,14,public/company/24/vTJtsWRwxD9N9JbK614yJ7Q4EOuki9iYFdS1N83r.gif,public/company/24/vTJtsWRwxD9N9JbK614yJ7Q4EOuki9iYFdS1N83r.gif,0,NULL,NULL,宿・ホテル予約ならじゃらんnet。当日予約や今だけのじゃらん限定プランも。航空券や新幹線と宿泊のセットでさらにお得に。リッチな温泉旅館から便利なビジネスホテルまで目的に合わせて簡単検索。豊富な観光情報と口コミであなたの旅行をサポートします。,1,支援金は\n予約金額の,0.450,%,ベルマーク点数として自動加算,予約＋宿泊で成果発生。JALパック、デイユースは成果対象外。　・電話予約センター経由での宿・ホテル予約・パッケージツアー、　組み合わせ自由なツアーのご予約、航空券の予約・海外予約は対象外となります。,判定タイミング：最大410日,3,1,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=887339379&vcptn=__key__,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=887339379&vcptn=__key__,0,2018-09-03 20:12:00,2023-03-30 11:36:55
26,ホットペッパービューティ,C002018,12,public/company/26/IHC4MZg3KMDJLxMQuN2rJ2vwKkLHh1bFzScJr4vv.gif,public/company/26/IHC4MZg3KMDJLxMQuN2rJ2vwKkLHh1bFzScJr4vv.gif,0,NULL,NULL,ホットペッパービューティ（Hot pepper beauty）は美容院・美容室・ヘアサロンが探せる日本最大級の検索・予約サイト。355万点あるスタイルや、ブログ、口コミをチェックして、気になるスタイリストを直接指名。２４時間いつでもネット予約OK。,0,支援金は\n新規予約＋来店で,134.000,点,ベルマーク点数として自動加算,新規予約＋来店完了　　・新規予約 (ヘアサロン)・新規予約  (ネイル)・新規予約 (リラクゼーション)　上記のみ成果対象となります。エステは成果対象外となります。,HOTPEPPERを初めて利用、かつ初めて利用する店舗の予約のみが対象。エステは成果対象外です。\n\n判定タイミング：最大120日,310,1,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=887339448&vcptn=__key__,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=887339448&vcptn=__key__,0,2018-09-03 20:09:00,2022-07-13 11:29:15
34,リクナビ派遣,C006012,8,public/company/34/PlkU6gx9BR71z21A4SbYzkKr3RVTi8zT5NPzODdF.gif,public/company/34/PlkU6gx9BR71z21A4SbYzkKr3RVTi8zT5NPzODdF.gif,0,NULL,NULL,リクナビ派遣は、リクルートが運営する人材派遣、人材派遣会社のお仕事・求人情報サイト！全国30000件以上の人材派遣の情報から、【未経験OK】【時給1600円以上】【オフィスワーク】【残業なし】などの条件であなたにピッタリのお仕事が探せます！,0,支援金は\n仕事エントリーで,636.000,点,ベルマーク点数として自動加算,リクナビ派遣での「仕事エントリー」もしくは「会社エントリー」\n\n■成果対象外\n重複、情報の欠落、虚偽内容と判断される登録,判定タイミング：最大45日,708,1,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885337277&vcptn=__key__,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885337277&vcptn=__key__,0,2018-09-03 20:12:00,2021-08-30 01:39:36
53,Z会 通信教育（資料請求）,C011001,18,public/company/53/Pz3QhZN3t46URxBMvYFf8IOU8pqUkycSAWBrMUsL.jpg,public/company/53/Pz3QhZN3t46URxBMvYFf8IOU8pqUkycSAWBrMUsL.jpg,0,NULL,NULL,Z会グループ【公式サイト】自ら学ぶことは、やがて、学力以上の差をつける。幼児~大学受験生・大学生・社会人向けに、通信教育をはじめとした教育サービスを展開するZ会グループのサービスをご紹介いたします。,0,支援金は\n資料請求で,251.000,点,ベルマーク点数として自動加算,WEB申込後、30日以内の電話もしくはメールでの本人確認,※１回で複数の資料を請求された場合や、お一人の方が複数回資料請求された場合は、１回のみを成果対象とさせて頂きます。\n\n判定タイミング：申込後から最大90日,1201,1,https://px.a8.net/svt/ejp?a8mat=25VWM9+5URGXE+E0Q+C2O5D&id1=__key__,https://px.a8.net/svt/ejp?a8mat=25VWM9+5URGXE+E0Q+C2O5D&id1=__key__,0,2018-09-03 20:09:00,2021-08-30 01:53:26
64,ウチダス　教育用品通販ショップ,C012001,16,public/company/64/BDmMBG0hYon9msurGJycJIozjZ9a5QRGekYs2zUb.png,public/company/64/BDmMBG0hYon9msurGJycJIozjZ9a5QRGekYs2zUb.png,0,NULL,NULL,ウチダス（UCHIDAS）は学校・幼稚園・保育所等文教関係の皆様に、「いい学校」「いい教育」「いい授業」づくりを支援するため、学校生活に必要な事業支援用品、イベント用品、日用品などを販売しています。教職員向けのデリバリーサービス。,1,支援金は\n購入金額の,0.400,%,ベルマーク点数として自動加算,商品購入＋注文後、30日以内のご入金（虚偽、いたずら、キャンセル、不備、返品は不可）,ウチダスと当サイトのログインIDが異なっていても、ブラウザが共通であれば支援金は発生します。\n商品代金のお支払いについて：担当の販売店より請求書が届きますので、通常通りお支払いください。\n\n判定タイミング：最大90日,7,1,https://px.a8.net/svt/ejp?a8mat=2HFWCV+G53376+37FA+5ZEMP&id1=__key__,https://px.a8.net/svt/ejp?a8mat=2HFWCV+G53376+37FA+5ZEMP&id1=__key__,0,2018-09-03 20:22:00,2022-07-13 11:30:16
66,ニッセン,C003017,11,public/company/66/u7KKu7n1iUDcmhHo6zX4uRKa6or8Zbbi0sdgUo4l.jpg,public/company/66/u7KKu7n1iUDcmhHo6zX4uRKa6or8Zbbi0sdgUo4l.jpg,0,NULL,NULL,カタログ通販ニッセン（nissen）のオンラインサイトです。ファッションからインテリア・生活雑貨まで幅広い品揃えです。毎週水曜更新のセールなど、お得情報が盛りだくさん!,0,支援金は\n購入金額の,0.400,%,ベルマーク点数として自動加算,【成果対象外】\n成果対象外について\n(1)消費税、送料、手数料、サービス料、アプリ経由の購入\n\n(2)Alinoma（アリノマ）での購入商品\n\n(3)定期便・頒布会商品の2回目以降\n\n(4)その他、ニッセンオンラインと決済方法が異なる商品\n\n(5)その他、支払が発生しない懸賞・モニターなどの応募、カタログ請求\n\n(6)虚偽、悪戯、キャンセル、返品・交換の場合\n\n※オンライン購入後、コールセンターまたは問い合わせフォームにて問い合わせをし、購入内容（購入商品・購入方法・送付方法等）を変更した場合は対象外です。,判定タイミング：受注日翌日\n\n2021年9月7日よりポイントの加算率・判定タイミングが変更となりました。,410,1,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=966106.10006438&type=4&subid=0&u1=__key__,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=966106.10006438&type=4&subid=0&u1=__key__,0,2018-09-03 20:14:00,2024-08-21 14:11:26
67,セブンネットショッピング　本・CD・DVD 通販,C005009,13,public/company/67/9cBlXjPcLUGA1Ac49a5WedrgCjg3qiZHdUTa2ppH.png,public/company/67/9cBlXjPcLUGA1Ac49a5WedrgCjg3qiZHdUTa2ppH.png,0,NULL,NULL,セブンネットショッピング（7net shopping）は本・コミック・雑誌・CD・DVD・ゲーム・ギフトなどセブン‐イレブン店舗受取りなら送料無料＆24時間受取れる。nanacoポイントも貯まって使えるサイトです。,0,支援金は\n購入金額の,0.890,%,ベルマーク点数として自動加算,商品購入＋ご入金（虚偽、いたずら、キャンセル、不備、返品は不可）\n＜成果対象外＞\n\nセブンネットショッピング以外のサイトのご購入は成果対象外となります。\n成果対象は下記ドメインに属す商品のみとなります。\n＞https://7net.omni7.jp/top/\n※但し、以下カテゴリの商材は成果対象外です。\n・「雑誌」カテゴリ：https://7net.omni7.jp/basic/003000\n・「ゲーム」カテゴリ：https://7net.omni7.jp/basic/027003\n　※25/7/1より「グッズ・ゲーム」カテゴリに含まれる商品のうち、\n　　「ゲーム」カテゴリの商品以外は報酬対象に変更。\nレコメンドで西武やイトーヨーカドー等の商品が掲載されておりますが、\nその商品は別ドメイン（別サイト）になりますので成果対象外です。\n\nアプリ経由の購入も成果対象外です。,セブンネットショッピング以外のサイトでの購入は成果対象外となります。\n\n判定タイミング：最大365日,602,1,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885809121&vcptn=__key__,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885809121&vcptn=__key__,0,2018-09-03 20:19:00,2025-07-02 13:53:07
68,ベルメゾンネット,C003018,11,public/company/68/zneR1nFvZBLJLmUqUXfYhzF2GYfI3xAOENZsgjJl.gif,public/company/68/OBnGY00weecAjyNjNvcTaTr9QCOfLdVmvpLo5mcR.gif,0,NULL,NULL,通販のベルメゾンネット（Belle Maison net）は、千趣会 ベルメゾンの通販カタログ商品のオンラインショップです。ファッション・コスメ・ブランド・インテリア・ディズニーグッズなどのカタログ販売・通信販売サイトです。,1,支援金は\n購入金額の,0.400,%,ベルマーク点数として自動加算,商品購入＋ご入金（虚偽、いたずら、キャンセル、不備、返品は不可）\n\n成果対象外：\n「モバコレ」「Annamuse」「ベルネージュダイレクト　ギフトオンラインショップ」「雪印メグミルクダイレクト　オンラインショップ」「ルナラボウェルネス」「プラネットワーク」「イイハナ・ドットコム」「B-tops」「ベルメゾンデッセ」「Plumoi（プルモア）」「ベルメゾンウェディング」「ディアーズブレイン」「ベルメゾン ポイントパーク」「ベルメゾン メンバーズカード」「ほけんはっけん！」「ブランド買取サービス「うるらく」」「kimawari fashion(キマワリ ファッション)」「ベルメゾン メンバーズカード」「ベルメゾン ポイントパーク」「ベルメゾンデッセ」「暮らすワイン」「イイハナ・ドットコム」「ビートップス」「ベルメゾン ライフプランデザイン」「ディアーズブレイン」「プラネットワーク」\nベルメゾンネットと上記サイトは、双方サイト間で互いにリンクしておりますが、別ECサイトとなります。\n・「TSUNAGU（つなぐ）」\n・「イイハナ・ドットコム」\n・「ベルメゾン ライフプランデザイン」\n・「ディアーズブレイン」\n・「プラネットワーク」\n・他、bellemaison.jpドメイン以外のグループサイト\n「ベルメゾンお買い物券」の購入、「定期お届け・マンスリークラブ」の2回目以降のお支払い、\n及び以下ベルメゾンネット内のサービスの申込み\n\n・「ベルメゾン メンバーズカード」\n・「ベルメゾン ポイントパーク」\n・「ベルメゾンデッセ」\n\n「マンスリークラブネット」の商品も成果対象になります！（初回月のお支払い分のみ成果対象となります。） \n●その他注意事項\n・グループネットからのグループでのご注文は対象外です。\n・スイングプライス商品をご購入された場合、最小価格での報酬支払いとします。\n※スイングプライス商品：お届け月によって、価格が変わるコレクションです。\n＜対象外商品＞ \n□マンスリークラブのセール商品\n□夏・スタイル早割商品　あったかスタイル早割商品,判定タイミング：受注処理完了時,4,1,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=593858.10000006&type=4&subid=0&LSNSUBSITE=LSNSUBSITE&u1=__key__,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=593858.10000006&type=4&subid=0&LSNSUBSITE=LSNSUBSITE&u1=__key__,0,2018-09-03 20:21:00,2025-09-10 13:11:01
74,ロフトネットストア,C013002,1,public/company/74/GvGJBTxP6sTVKBpMbNrF3ujqAHdpo7oMnbyJTOBZ.jpg,public/company/74/GvGJBTxP6sTVKBpMbNrF3ujqAHdpo7oMnbyJTOBZ.jpg,0,NULL,NULL,ロフト公式ネットストア。LOFTでは文房具からコスメ、キャラクター雑貨やインテリアなどを取り扱う生活雑貨の専門店。nanacoポイントが貯まったりセブン‐イレブンでの店舗受け取りができる便利な通販サイト。,0,支援金は\n購入金額の,2.430,%,ベルマーク点数として自動加算,商品購入＋ご入金（虚偽、いたずら、キャンセル、不備、返品は不可）\n\n判定タイミング：出荷翌日,判定タイミング：出荷翌日,1300,1,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=424574.3&type=4&subid=0&u1=__key__,https://click.linksynergy.com/fs-bin/click?id=gyHms9ppGus&offerid=424574.3&type=4&subid=0&u1=__key__,0,2018-09-03 20:19:00,2022-11-14 10:24:36
77,アカチャンホンポOnline Shop,C010002,3,public/company/77/VKm6RIiDDShCJ0X8auEjjZBvtWSpkfRduFGsfmAY.jpg,public/company/77/VKm6RIiDDShCJ0X8auEjjZBvtWSpkfRduFGsfmAY.jpg,0,NULL,NULL,マタニティ・ベビー・キッズ用品専門店のアカチャンホンポのネット通販サイトです。アカチャンホンポネット通販は、セブン＆アイが提供する「オムニ7」で、nanacoポイントが貯まったりセブンｰイレブンでの店舗受取ができる便利な通販サイトです。,0,支援金は\n購入金額の,0.890,%,ベルマーク点数として自動加算,商品購入＋ご入金（虚偽、いたずら、キャンセル、不備、返品は不可）,判定タイミング：最大45日,1100,1,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885337288&vcptn=__key__,https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3075896&pid=885337288&vcptn=__key__,0,2018-09-03 20:10:00,2023-07-11 22:20:49
